,date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate,growth_rate,growth_accel,growth_accel_rate
0,2020-06-08,AC,Acrelândia,city,166,2,True,15256.0,1200013,1088.0964900000001,0.012,3.1774324532513756,-0.020656470147721574,-0.012249750681216079
1,2020-06-08,AC,Assis Brasil,city,60,4,True,7417.0,1200054,808.95241,0.0667,2.1393296097089447,0.10295243329493098,-1.6766271083101044e-05
2,2020-06-08,AC,Brasiléia,city,128,5,True,26278.0,1200104,487.09947,0.0391,5.479870976753367,0.375179931352291,0.03290056753191424
3,2020-06-08,AC,Bujari,city,77,1,True,10266.0,1200138,750.0487,0.013000000000000001,2.021086264351654,0.08162846709133886,0.002493750537564066
4,2020-06-08,AC,Capixaba,city,65,1,True,11733.0,1200179,553.9930099999999,0.0154,2.4006101142968554,0.07332671457157307,-0.0028965805171808356
5,2020-06-08,AC,Cruzeiro do Sul,city,1383,20,True,88376.0,1200203,1564.9045,0.0145,40.76974845065912,2.435091534272284,0.2226504074420816
6,2020-06-08,AC,Epitaciolândia,city,95,3,True,18411.0,1200252,515.99587,0.0316,3.2237026661751456,0.046699661367428744,-0.011090482157050306
7,2020-06-08,AC,Feijó,city,43,1,True,34780.0,1200302,123.63427,0.0233,1.646502903642251,0.11049212401575871,0.006098321507735911
8,2020-06-08,AC,Jordão,city,4,0,True,8317.0,1200328,48.09426,0.0,0.619333906347919,0.13368231792847762,0.026206254928879718
9,2020-06-08,AC,Mâncio Lima,city,66,1,True,18977.0,1200336,347.78943,0.0152,2.331694802252018,0.1352407092609039,0.005526927085660628
10,2020-06-08,AC,Manoel Urbano,city,20,0,True,9459.0,1200344,211.43884,0.0,1.9878632229175432,0.19383909854381673,0.004023169812263426
11,2020-06-08,AC,Marechal Thaumaturgo,city,104,0,True,18867.0,1200351,551.22701,0.0,3.8653834172362496,0.02586122518114543,-0.016903404708178485
12,2020-06-08,AC,Plácido de Castro,city,209,5,True,19761.0,1200385,1057.63878,0.0239,4.137922649478175,0.027864902417277647,-0.0056208123774378034
13,2020-06-08,AC,Porto Acre,city,123,5,True,18504.0,1200807,664.72114,0.0407,3.0997018635610702,0.0980767828626,-0.004249062284823341
