,date,iso_code,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,growth_rate,growth_accel,growth_accel_rate,growth_rate_NORM_(%),growth_accel_NORM_(%),growth_accel_rate_NORM_(%),LENTO,EXPONENCIAL,DESACELERACAO,ESTAVEL,LINEAR,CLASSIFICACAO,index
0,2020-06-08,AFG,Asia,Afghanistan,20342.0,791.0,357.0,30.0,522.55,20.319000000000006,9.171,0.7709999999999999,,,,,,,,,38928341.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,424.27611976292746,12.133410963902366,0.09828066384100023,2.0857148744613485,0.05964708958756446,0.0004831415978812321,0,1,0,0,0,EXPONENCIAL,
1,2020-06-08,ALB,Europe,Albania,1246.0,14.0,34.0,0.0,432.97,4.865,11.815,0.0,,,,,,,,,2877800.0,104.871,38.0,13.188,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,14.194210329763992,0.07953279867232385,0.004090567916123251,1.1391822094513635,0.006383049652674466,0.00032829598042722724,0,0,0,0,1,LINEAR,
2,2020-06-08,DZA,Africa,Algeria,10154.0,104.0,707.0,9.0,231.557,2.372,16.123,0.205,,,,,,,,,43851043.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,137.5727075834007,-0.3179243611340328,-0.13873437293165586,1.3548621979850377,-0.003131025813807689,-0.00136630266822588,0,0,0,0,1,LINEAR,
3,2020-06-08,AND,Europe,Andorra,852.0,0.0,51.0,0.0,11026.985,0.0,660.066,0.0,,,,,,,,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,5.8823697013770255,-0.00392490708742486,0.00596736959878569,0.690418979034862,-0.0004606698459418849,0.0007003954928152218,0,0,0,1,0,ESTAVEL,
4,2020-06-08,AGO,Africa,Angola,91.0,5.0,4.0,0.0,2.769,0.152,0.122,0.0,,,,,,,,,32866268.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,1.4482273473278366,0.011057924645761077,-0.0011945248979974336,1.5914586234371833,0.012151565544792391,-0.0013126647230741028,0,1,0,0,0,EXPONENCIAL,
5,2020-06-08,AIA,North America,Anguilla,3.0,0.0,0.0,0.0,199.973,0.0,0.0,0.0,,,,,,,,,15002.0,,,,,,,,,,,,,0.004063883790629507,-0.00021515323070143497,1.2913958554620442e-05,0.13546279302098355,-0.0071717743567145,0.0004304652851540147,1,0,0,1,0,LENTO,
6,2020-06-08,ATG,North America,Antigua and Barbuda,26.0,0.0,3.0,0.0,265.501,0.0,30.635,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,0.14129044460715728,-0.0034041978298098396,0.00032609574150194626,0.5434247869506049,-0.013093068576191693,0.0012542143903921008,1,0,1,0,0,LENTO,
7,2020-06-08,ARG,South America,Argentina,22781.0,774.0,664.0,16.0,504.052,17.125,14.692,0.354,,,,,,,,,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,456.7046384285376,14.741571750229122,0.3966813083550193,2.004761153718176,0.06470994139953963,0.001741281367609057,0,1,0,0,0,EXPONENCIAL,
8,2020-06-08,ARM,Asia,Armenia,13130.0,766.0,200.0,10.0,4430.97,258.501,67.494,3.375,,,,,,,,,2963234.0,102.931,35.7,11.232,7.5710000000000015,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,272.42708259872853,9.858123239818372,0.4689517240787199,2.0748444980862795,0.07508090814789317,0.003571604905397715,0,1,0,0,0,EXPONENCIAL,
9,2020-06-08,ABW,North America,Aruba,101.0,0.0,3.0,0.0,945.994,0.0,28.099,0.0,,,,,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,0.4243895969040775,-0.0215696039758691,0.001124006316793947,0.4201877197070074,-0.021356043540464453,0.0011128775413801458,0,0,1,0,0,DESACELERACAO,
